"CHILDID","C7DESMTH","C7R4MSCL","S7_ID","C6R4MSCL","P6EXPECT","GENDER","RACE","WKSESL","WKPOV_R","WKMOMED","P7HFAMIL","S7PUPRI","R7REGION","R7URBAN"
"0300011C",1,133.4,"C517",106.33,"4y college",0,"WHITE",-0.39,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"0300012C",0,152.98,"C517",141.41,"4y college",0,"WHITE",0.85,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"0300013C",0,139.27,"C517",125.28,"4y college",0,"WHITE",0.08,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"0300014C",0,140.72,"C517",120.47,"more than",0,"WHITE",0.05,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"0300015C",0,152.64,"C517",141.22,"4y college",1,"WHITE",0.28,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"0300020C",1,155.61,"C517",135.84,"more than",0,"WHITE",0.38,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"0301001C",1,137.1,"C240",119.38,"4y college",0,"HISPANIC",0.85,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","one parent","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0301002C",1,166.38,"C240",147.38,"more than",0,"WHITE",0.54,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0301003C",1,142.96,"C240",118.54,"4y college",0,"WHITE",1.16,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0301007C",1,160.52,"C240",144.99,"4y college",0,"WHITE",0.15,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0301008C",0,91.01,"C240",100.73,"less than",1,"WHITE",-0.55,"AT OR ABOVE POVERTY THRESHOLD","high school","one parent","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0301010C",0,145.72,"A206",127.14,"less than",1,"WHITE",1.14,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","one parent","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0301011C",1,156.41,"C240",142.05,"less than",0,"WHITE",-0.14,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0301013C",1,157.5,"C240",128.5,"less than",0,"WHITE",-0.8,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0301017C",1,159.51,"C240",139.02,"4y college",1,"WHITE",0.29,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0301018C",1,142.76,"C240",124.18,"4y college",1,"WHITE",-0.39,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0301019C",1,151.9,"C240",144.27,"4y college",1,"WHITE",0.99,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","one parent","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0301020C",0,117.29,"C240",95.06,"less than",0,"WHITE",0.63,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0301023C",1,161.98,"C240",130.39,"4y college",1,"WHITE",-0.43,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0301024C",0,129.25,"C240",113.46,"4y college",1,"WHITE",-0.51,"BELOW POVERTY THRESHOLD","high school","one parent","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0305001C",0,150.03,"A206",137.55,"less than",0,"WHITE",0.67,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0305003C",0,114.09,"A206",134.24,"4y college",1,"WHITE",0.75,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0305006C",0,127.07,"A206",115.88,"4y college",0,"WHITE",0.06,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0305007C",1,140.17,"A206",142.21,"more than",0,"WHITE",0.56,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0305010C",0,141.91,"A206",118.27,"less than",1,"WHITE",-0.2,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0305011C",1,157.33,"A206",140.16,"less than",1,"WHITE",1.32,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0305013C",0,117.57,"A206",111.13,"less than",0,"WHITE",-0.16,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0305015C",1,131.12,"A206",114.93,"4y college",0,"WHITE",0.38,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0305019C",0,137.04,"A206",107.97,"less than",0,"HISPANIC",-0.48,"AT OR ABOVE POVERTY THRESHOLD","high school","one parent","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0305021C",0,108.3,"A206",106.38,"less than",0,"HISPANIC",-0.67,"AT OR ABOVE POVERTY THRESHOLD","less than high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0305022C",0,130.63,"A206",127.98,"more than",1,"WHITE",0.07,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0305023C",1,166.4,"A206",145.79,"4y college",0,"WHITE",-0.12,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0305024C",1,133,"A206",95.88,"4y college",0,"WHITE",-0.28,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0305025C",1,153.62,"A206",120.05,"less than",0,"WHITE",0.67,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0306001C",1,168.83,"A206",149.22,"4y college",1,"WHITE",0.79,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0306004C",1,158.91,"A206",140.61,"4y college",0,"WHITE",1.97,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0306007C",1,161.96,"A206",138.13,"4y college",0,"WHITE",1.19,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0306010C",1,159.91,"A206",116.45,"4y college",0,"WHITE",0,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0306016C",1,158.64,"A206",149.16,"more than",0,"WHITE",0.7,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0306017C",1,162.42,"A206",145.04,"less than",0,"WHITE",0.84,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0306018C",0,143.45,"A206",103.15,"less than",0,"HISPANIC",0.17,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0307001C",1,153.48,"C260",133.88,"4y college",0,"WHITE",1.11,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0307003C",0,130.22,"C260",108.87,"less than",0,"WHITE",0.63,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0307004C",1,154.3,"C260",131.66,"4y college",1,"WHITE",0.87,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0307006C",1,166.58,"C260",151.85,"4y college",1,"WHITE",0.12,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0307007C",0,162.02,"C260",131.73,"4y college",1,"WHITE",0.23,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0307015C",0,142.48,"C260",133.71,"4y college",0,"WHITE",-0.23,"BELOW POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0307016C",0,125.79,"C260",118.3,"4y college",1,"WHITE",1.15,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0307019C",0,159.33,"C260",119.3,"more than",0,"WHITE",0.01,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0312018C",1,167.19,"C260",146.65,"4y college",1,"WHITE",1.35,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0312020C",0,140.49,"C260",141.15,"less than",1,"WHITE",0.55,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0312024C",0,124.03,"C260",121,"less than",0,"HISPANIC",-0.49,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0313017C",0,144,"C260",128.46,"4y college",0,"WHITE",-0.23,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0314002C",1,162.63,"C260",134.64,"4y college",1,"WHITE",0.78,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0317003C",0,166.67,"C280",152.4,"more than",1,"WHITE",-0.38,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"0317005C",0,141.69,"C280",109.66,"4y college",0,"WHITE",0.62,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"0317008C",0,139.34,"C280",105.24,"less than",1,"WHITE",0.27,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"0317009C",1,144.39,"C280",137.31,"4y college",1,"WHITE",0.33,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"0317010C",0,156.03,"C280",133.86,"4y college",1,"WHITE",-0.28,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"0317011C",1,148.86,"C280",137.04,"4y college",0,"WHITE",0.22,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"0317013C",1,103.01,"C280",102.28,"less than",0,"Other",-0.07,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","one parent","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"0317014C",0,125.31,"C280",109.34,"less than",0,"WHITE",0.25,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"0317015C",1,129.08,"C280",127.68,"4y college",0,"WHITE",0.18,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","one parent","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"0317017C",0,130.82,"C280",122.24,"4y college",1,"WHITE",0.67,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"0317020C",1,167.22,"C280",130.4,"more than",0,"WHITE",1.24,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"0317021C",1,162.34,"C280",137.4,"more than",0,"WHITE",-0.1,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"0317022C",1,153.24,"C280",137.63,"less than",0,"WHITE",-0.21,"AT OR ABOVE POVERTY THRESHOLD","high school","one parent","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"0317023C",1,159.53,"C280",154.91,"more than",1,"WHITE",0.45,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"0317024C",0,166.01,"C280",157.33,"more than",0,"WHITE",0.69,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"0318008C",0,135.2,"A247",108.92,"less than",0,"WHITE",0,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0318012C",0,131.88,"A247",136.59,"4y college",1,"HISPANIC",0.45,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0319002C",1,117.03,"A247",102.6,"less than",1,"Other",-0.2,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0319003C",1,138.4,"C437",127.44,"4y college",1,"WHITE",0.34,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"0319004C",1,145.15,"C437",150.88,"4y college",1,"WHITE",-0.06,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"0319005C",0,155,"C437",151,"4y college",1,"WHITE",0.07,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"0319006C",0,139.88,"C437",123.93,"4y college",1,"WHITE",0.05,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","one parent","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"0319008C",0,148.44,"C437",147.17,"less than",1,"HISPANIC",-0.04,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"0319011C",1,117.33,"C437",93.88,"4y college",1,"WHITE",0.31,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"0319016C",1,130.39,"C437",107.74,"4y college",0,"WHITE",1.02,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","one parent","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"0319020C",1,155.43,"C437",141.18,"4y college",0,"HISPANIC",1.06,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"0319021C",0,144.53,"C437",134.04,"more than",1,"WHITE",-0.05,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"0320018C",0,114.2,"C437",104.16,"4y college",1,"BLACK",-0.24,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","one parent","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"0324004C",0,117.49,"A247",103.58,"4y college",0,"WHITE",0.98,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0324008C",0,142.57,"A247",126.96,"less than",1,"WHITE",0.5,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","one parent","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0324009C",1,153.75,"A247",139.33,"more than",0,"WHITE",0.93,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0324010C",0,143.04,"A247",122.9,"4y college",1,"HISPANIC",-0.08,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0324011C",0,130.42,"A247",116.79,"4y college",0,"WHITE",0.2,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0324014C",1,137.54,"A247",143.71,"4y college",1,"WHITE",-0.45,"AT OR ABOVE POVERTY THRESHOLD","high school","one parent","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0324016C",0,141.42,"A247",127.2,"less than",0,"WHITE",-0.91,"BELOW POVERTY THRESHOLD","high school","one parent","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0324018C",1,168.66,"A247",155.97,"4y college",1,"WHITE",0.79,"BELOW POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0324019C",0,159.27,"A247",144.74,"4y college",1,"WHITE",0.48,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0324020C",1,158.85,"A247",152.55,"4y college",0,"WHITE",0.97,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0324021C",1,161.38,"A247",142.62,"4y college",1,"WHITE",0.63,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0324022C",0,146.89,"A247",135.37,"less than",1,"WHITE",-0.2,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0324024C",1,148.99,"A247",118.52,"more than",0,"WHITE",1.34,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0325003C",0,144.13,"A247",139.55,"less than",1,"WHITE",-0.23,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0326008C",1,167.43,"A247",142.1,"4y college",0,"WHITE",1.22,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0326009C",0,148.17,"A247",130.2,"less than",0,"WHITE",-0.26,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0326011C",0,141.58,"A247",129.77,"less than",1,"WHITE",-0.49,"BELOW POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0326014C",1,170.37,"A247",154.01,"4y college",1,"WHITE",-0.17,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","one parent","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0326015C",1,147.87,"A247",141.14,"4y college",0,"WHITE",0.4,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0326016C",1,170.88,"A247",146.38,"4y college",0,"WHITE",1.04,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0326018C",0,156.03,"A247",119.28,"more than",0,"WHITE",0.69,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0326022C",0,155.22,"A247",116.26,"4y college",1,"WHITE",0.08,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0327009C",0,95.56,"C437",97.65,"less than",1,"WHITE",-0.35,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"0327011C",0,159.29,"C437",131.3,"4y college",1,"WHITE",0.39,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"0327013C",1,145.36,"C437",137.32,"4y college",0,"WHITE",0.14,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"0330002C",0,167.18,"A065",143.03,"4y college",1,"WHITE",0.58,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0330005C",0,131.33,"A065",101.08,"more than",0,"WHITE",-0.43,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0330006C",1,169.57,"A065",141.83,"4y college",0,"WHITE",0.02,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0330007C",1,152.87,"A065",130.85,"4y college",1,"WHITE",0.77,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0330009C",0,166.81,"A065",119.59,"more than",0,"WHITE",0.22,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0330010C",0,156.42,"A065",115.05,"less than",0,"WHITE",0.55,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0330014C",0,140.47,"A065",127.78,"more than",0,"WHITE",-0.18,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0330015C",1,170.37,"A065",151.34,"4y college",0,"WHITE",0.22,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0330016C",0,120.79,"A065",85.28,"4y college",0,"WHITE",-0.13,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","one parent","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0330017C",1,158.24,"A065",132.91,"more than",1,"WHITE",0.17,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0330019C",0,158.77,"A065",141.11,"more than",0,"WHITE",-0.01,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","one parent","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0330021C",1,162.54,"A065",148.62,"4y college",0,"WHITE",0.12,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","one parent","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0330022C",1,167.71,"A065",135.02,"4y college",1,"WHITE",0.47,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0338001C",0,132.84,"0338",132.36,"more than",0,"WHITE",-0.21,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","one parent","PRIVATE","MIDWEST","LARGE AND MID-SIZE CITY"
"0338002C",0,132.53,"0338",125.02,"less than",0,"WHITE",0.12,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PRIVATE","MIDWEST","LARGE AND MID-SIZE CITY"
"0338004C",1,143.79,"0338",140.66,"4y college",1,"WHITE",1.41,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PRIVATE","MIDWEST","LARGE AND MID-SIZE CITY"
"0338008C",1,143.88,"0338",133.2,"more than",0,"WHITE",0.89,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PRIVATE","MIDWEST","LARGE AND MID-SIZE CITY"
"0338011C",0,140.43,"0338",128.33,"4y college",1,"Other",-0.09,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PRIVATE","MIDWEST","LARGE AND MID-SIZE CITY"
"0338013C",0,136.64,"0338",115.42,"4y college",1,"WHITE",1.49,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PRIVATE","MIDWEST","LARGE AND MID-SIZE CITY"
